HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Brighton,Arsenal,1,1,5.25,3.9,1.72
Burnley,Everton,1,5,4.33,3.5,1.95
Crystal Palace,Cardiff,0,0,1.66,4,5.75
Fulham,Wolves,1,1,3.25,3.4,2.37
Leicester,Man City,2,1,9.5,5.25,1.36
Liverpool,Newcastle,4,0,1.16,8.5,19
Man United,Huddersfield,3,1,1.25,6.5,15
Tottenham,Bournemouth,5,0,1.36,5.5,9
Watford,Chelsea,1,2,5.25,3.8,1.75
Southampton,West Ham,1,2,2.3,3.5,3.3
Brighton,Everton,1,0,3.25,3.4,2.14
Fulham,Huddersfield,1,0,2,3.4,3.75
Leicester,Cardiff,0,1,1.55,4,6
Liverpool,Arsenal,5,1,1.5,4.5,5.75
Tottenham,Wolves,1,3,1.33,5,8.5
Watford,Newcastle,1,1,1.85,3.6,4
Burnley,West Ham,2,0,3.3,3.2,2.25
Crystal Palace,Chelsea,0,1,4.75,4,1.66
Man United,Bournemouth,4,1,1.33,4.75,10
Southampton,Man City,1,3,10,5.25,1.3
Arsenal,Fulham,4,1,1.33,5.75,9.5
Cardiff,Tottenham,0,3,7.5,4.5,1.5
Everton,Leicester,0,1,2,3.5,4.2
Bournemouth,Watford,3,3,2.6,3.6,2.75
Chelsea,Southampton,0,0,1.28,6.5,11
Huddersfield,Burnley,1,2,2.14,3.1,4.2
Newcastle,Man United,0,2,6,4.2,1.61
West Ham,Brighton,2,2,1.95,3.75,4
Wolves,Crystal Palace,0,2,2,3.4,4.33
Man City,Liverpool,2,1,2.04,3.8,3.6
Brighton,Liverpool,0,1,11,6,1.3
Burnley,Fulham,2,1,2.4,3.3,3.25
Cardiff,Huddersfield,0,0,2.25,3.25,3.6
Chelsea,Newcastle,2,1,1.22,7,15
Crystal Palace,Watford,1,2,2.25,3.4,3.5
Leicester,Southampton,1,2,1.95,3.5,4.33
West Ham,Arsenal,1,0,3.5,4,2.05
Everton,Bournemouth,2,0,1.75,4,4.8
Tottenham,Man United,0,1,2.05,3.7,3.75
Man City,Wolves,3,0,1.18,8,17
Arsenal,Chelsea,2,0,3.1,3.6,2.37
Bournemouth,West Ham,2,0,2.37,3.7,3
Liverpool,Crystal Palace,4,3,1.2,7.5,17
Man United,Brighton,2,1,1.3,5.75,12
Newcastle,Cardiff,3,0,1.95,3.4,4.5
Southampton,Everton,2,1,2.75,3.4,2.7
Watford,Burnley,0,0,1.65,4,5.75
Wolves,Leicester,4,3,2.37,3.2,3.4
Fulham,Tottenham,1,2,5.25,3.8,1.75
Huddersfield,Man City,0,3,21,8.5,1.16
Arsenal,Cardiff,2,1,1.22,7,15
Fulham,Brighton,4,2,2.37,3.3,3.3
Huddersfield,Everton,0,1,4,3.3,2.1
Man United,Burnley,2,2,1.28,6,12
Newcastle,Man City,2,1,19,8,1.18
Wolves,West Ham,3,0,2.1,3.5,3.75
Bournemouth,Chelsea,4,0,5.25,4.2,1.66
Liverpool,Leicester,1,1,1.22,7,15
Southampton,Crystal Palace,1,1,2.4,3.4,3.2
Tottenham,Watford,2,1,1.66,4,5.75
Brighton,Watford,0,0,2.55,3.3,3
Burnley,Southampton,1,1,2.55,3.5,2.87
Cardiff,Bournemouth,2,0,3.25,3.5,2.3
Chelsea,Huddersfield,5,0,1.2,7.5,19
Crystal Palace,Fulham,2,0,2.05,3.5,4
Everton,Wolves,1,3,2.37,3.4,3.25
Tottenham,Newcastle,1,0,1.44,4.5,9
Leicester,Man United,0,1,3.6,3.5,2.15
Man City,Arsenal,3,1,1.33,6,9
West Ham,Liverpool,1,1,8,5.25,1.4
Everton,Man City,0,2,10,6.25,1.3
Brighton,Burnley,1,3,2.05,3.3,4.2
Crystal Palace,West Ham,1,1,2.1,3.5,3.75
Fulham,Man United,0,3,5.5,4.4,1.61
Huddersfield,Arsenal,1,2,5.75,4.4,1.6
Liverpool,Bournemouth,3,0,1.22,7.5,14
Southampton,Cardiff,1,2,1.75,3.9,5
Watford,Everton,1,0,2.35,3.5,3.2
Man City,Chelsea,6,0,1.5,4.75,7
Tottenham,Leicester,3,1,1.7,3.9,5.5
Wolves,Newcastle,1,1,1.7,3.75,5.75
Cardiff,Watford,1,5,3.1,3.4,2.45
West Ham,Fulham,3,1,1.95,3.8,4
Bournemouth,Wolves,1,1,2.87,3.4,2.62
Burnley,Tottenham,2,1,5.75,3.8,1.7
Leicester,Crystal Palace,1,4,2.25,3.4,3.5
Newcastle,Huddersfield,2,0,1.83,3.5,5.25
Arsenal,Southampton,2,0,1.5,4.75,7
Man United,Liverpool,0,0,3.1,3.5,2.37
Cardiff,Everton,0,3,3.75,3.4,2.15
Huddersfield,Wolves,1,0,5,3.5,1.85
Leicester,Brighton,2,1,1.9,3.5,4.6
Newcastle,Burnley,2,0,2.15,3.3,3.9
Arsenal,Bournemouth,5,1,1.44,5,7.5
Chelsea,Tottenham,2,0,2.3,3.5,3.25
Crystal Palace,Man United,1,3,3.25,3.5,2.3
Liverpool,Watford,5,0,1.28,6,12
Man City,West Ham,1,0,1.16,9,19
Southampton,Fulham,2,0,1.9,3.7,4.33
Bournemouth,Man City,0,1,13,7.5,1.22
Brighton,Huddersfield,1,0,1.85,3.4,5.25
Burnley,Crystal Palace,1,3,2.8,3.3,2.75
Man United,Southampton,3,2,1.45,4.5,8.5
Tottenham,Arsenal,1,1,2.05,3.7,3.75
West Ham,Newcastle,2,0,2.15,3.5,3.6
Wolves,Cardiff,2,0,1.5,4.33,8
Everton,Liverpool,0,0,6,4.2,1.61
Fulham,Chelsea,1,2,6.5,4.5,1.53
Watford,Leicester,2,1,2.55,3.3,3
Cardiff,West Ham,2,0,3.6,3.5,2.15
Crystal Palace,Brighton,1,2,1.83,3.6,5
Huddersfield,Bournemouth,0,2,3.4,3.3,2.35
Leicester,Fulham,3,1,1.57,4.5,6
Man City,Watford,3,1,1.16,9,19
Newcastle,Everton,3,2,2.8,3.25,2.8
Southampton,Tottenham,2,1,4.5,3.8,1.85
Arsenal,Man United,2,0,2.4,3.6,3
Chelsea,Wolves,1,1,1.55,4.2,7
Liverpool,Burnley,4,2,1.16,8.5,21
Bournemouth,Newcastle,2,2,2.05,3.6,3.8
Burnley,Leicester,1,2,3.1,3.4,2.45
West Ham,Huddersfield,4,3,1.55,4.2,7
Everton,Chelsea,2,0,4,3.8,1.95
Fulham,Liverpool,1,2,12,7,1.25
Brighton,Southampton,0,1,2.55,3.2,3.1
