HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365O25,B365U25
Betis,Valencia,3,6,2.55,3.5,2.7,,
Eibar,La Coruna,0,0,2,3.5,3.75,,
Girona,Villarreal,1,2,2.8,3.2,2.6,,
Malaga,Leganes,0,2,2.38,3,3.4,,
Las Palmas,Celta,2,5,2.38,3.3,3.1,,
Barcelona,Malaga,2,0,1.07,13,26,,
Betis,Alaves,2,0,1.57,4,6,,
Levante,Getafe,1,1,2.37,3.2,3.2,,
Valencia,Sevilla,4,0,1.85,3.89,4,,
Celta,Ath Madrid,0,1,4.2,3.39,1.95,,
Leganes,Ath Bilbao,1,0,2.37,3.1,3.29,,
Real Madrid,Eibar,3,0,1.09,11,23,,
Villarreal,Las Palmas,4,0,1.5,4.2,7,,
La Coruna,Girona,1,2,2.04,3.29,3.79,,
Sociedad,Espanol,1,1,1.85,3.79,4,,
Alaves,Valencia,1,2,6,3.75,1.6,,
Ath Bilbao,Barcelona,0,2,7,4.5,1.44,,
Ath Madrid,Villarreal,1,1,1.5,4,7.5,,
Sevilla,Leganes,2,1,1.61,3.75,6,,
Eibar,Levante,2,2,1.95,3.39,4.2,,
Getafe,Sociedad,2,1,2.45,3.39,2.87,,
Girona,Real Madrid,2,1,10,6.5,1.25,,
Malaga,Celta,2,1,3.1,3.39,2.29,,
Espanol,Betis,1,0,2.14,3.39,3.39,,
Las Palmas,La Coruna,1,3,2.04,3.5,3.6,,
Betis,Getafe,2,2,2,3.5,3.79,,
Alaves,Espanol,1,0,2.87,3.1,2.7,,
Barcelona,Sevilla,2,1,1.19,7.5,12,,
La Coruna,Ath Madrid,0,1,4.75,3.6,1.8,,
Valencia,Leganes,3,0,1.5,4.33,6.5,,
Celta,Ath Bilbao,3,1,2.1,3.5,3.5,,
Levante,Girona,1,2,2.39,3.29,3,,
Real Madrid,Las Palmas,3,0,1.08,13,19,,
Sociedad,Eibar,3,1,1.61,4,5.5,,
Villarreal,Malaga,2,0,1.53,4.33,6,,
Girona,Sociedad,1,1,2.89,3.5,2.37,,
Ath Madrid,Real Madrid,0,0,3.2,3.39,2.25,,
Getafe,Alaves,4,1,1.8,3.5,4.75,,
Leganes,Barcelona,0,3,9.5,5.25,1.33,,
Sevilla,Celta,2,1,1.72,3.79,4.75,,
Ath Bilbao,Villarreal,1,1,2.25,3.29,3.29,,
Espanol,Valencia,0,2,3.2,3.29,2.29,,
Las Palmas,Levante,0,2,1.95,3.5,4,,
Malaga,La Coruna,3,2,2.37,3.29,3.1,,
Eibar,Betis,5,0,2.39,3.29,3,,
Celta,Leganes,1,0,1.95,3.25,4.33,,
Alaves,Eibar,1,2,2.5,3.1,3.1,,
Betis,Girona,2,2,2,3.6,3.75,,
Levante,Ath Madrid,0,5,7.5,3.75,1.53,,
Real Madrid,Malaga,3,2,1.08,13,21,,
La Coruna,Ath Bilbao,2,2,2.75,3.29,2.6,,
Sociedad,Las Palmas,2,2,1.44,4.75,7,,
Valencia,Barcelona,1,1,4,3.89,1.85,,
Villarreal,Sevilla,2,3,2.37,3.39,3,,
Espanol,Getafe,1,0,2,3.39,3.79,,
Malaga,Levante,0,0,1.72,3.79,4.75,,
Ath Bilbao,Real Madrid,0,0,7.5,4.5,1.44,,
Ath Madrid,Sociedad,2,1,1.5,3.89,7.5,,
Barcelona,Celta,2,2,1.12,10,17,,
Sevilla,La Coruna,2,0,1.44,4.5,7.5,,
Eibar,Espanol,3,1,2.37,3.1,3.29,,
Getafe,Valencia,1,0,3,3.39,2.29,,
Las Palmas,Betis,1,0,2.2,3.5,3.1,,
Leganes,Villarreal,3,1,2.79,3.25,2.62,,
Girona,Alaves,2,3,1.6,3.79,6,,
Alaves,Las Palmas,2,0,2.29,3.25,3.25,,
Getafe,Eibar,0,0,2.04,3.39,3.75,,
La Coruna,Leganes,1,0,2.37,3.2,3.2,,
Real Madrid,Sevilla,5,0,1.33,5.5,8.5,,
Valencia,Celta,2,1,1.66,4,5,,
Betis,Ath Madrid,0,1,4.75,3.79,1.72,,
Levante,Ath Bilbao,1,2,3.25,3.39,2.25,,
Sociedad,Malaga,0,2,1.53,4.33,6,,
Villarreal,Barcelona,0,2,6,4.33,1.53,,
Espanol,Girona,0,1,2.04,3.5,3.6,,
Sevilla,Levante,0,0,1.28,5.75,9.5,,
Ath Bilbao,Sociedad,0,0,2.14,3.39,3.39,,
Ath Madrid,Alaves,1,0,1.19,6.5,15,,
Eibar,Valencia,2,1,2.75,3.29,2.6,,
Barcelona,La Coruna,4,0,1.08,13,23,,
Celta,Villarreal,0,1,2.29,3.39,3.1,,
Girona,Getafe,1,0,2.2,3.25,3.5,,
Las Palmas,Espanol,2,2,2.5,3.29,2.87,,
Malaga,Betis,0,2,2,3.39,3.79,,
Levante,Leganes,0,0,2.7,3,2.89,,
Getafe,Las Palmas,2,0,1.75,3.6,5,,
Sociedad,Sevilla,3,1,2.25,3.5,3,,
Alaves,Malaga,1,0,2.14,3.2,3.5,,
Eibar,Girona,4,1,2,3.39,3.75,,
Betis,Ath Bilbao,0,2,2.7,3.25,2.62,,
Espanol,Ath Madrid,1,0,5,3.5,1.72,,
La Coruna,Celta,1,3,2.54,3.29,2.7,,
Real Madrid,Barcelona,0,3,2.1,3.75,3.1,,
Valencia,Villarreal,0,1,2.04,3.6,3.29,,
Ath Madrid,Getafe,2,0,1.39,4.2,10,,
Las Palmas,Eibar,1,2,2.54,3.39,2.75,,
Sevilla,Betis,3,5,1.5,4.33,6.5,,
Valencia,Girona,2,1,1.61,4,5.5,,
Ath Bilbao,Alaves,2,0,1.66,3.5,6,,
Barcelona,Levante,3,0,1.05,15,34,,
Celta,Real Madrid,2,2,6.5,4.33,1.5,,
Leganes,Sociedad,1,0,2.89,3.25,2.5,,
Villarreal,La Coruna,1,1,1.57,4,6,,
Malaga,Espanol,0,1,2.54,3,3.1,,
Getafe,Malaga,1,0,1.8,3.39,5,,
Eibar,Ath Madrid,0,1,4,3.2,2.04,,
Girona,Las Palmas,6,0,1.72,3.79,4.75,,
La Coruna,Valencia,1,2,3,3.39,2.37,,
Real Madrid,Villarreal,0,1,1.25,6.5,10,,
Alaves,Sevilla,1,0,3.25,3.25,2.29,,
Espanol,Ath Bilbao,1,1,2.54,3,3,,
Levante,Celta,0,1,3,3.25,2.45,,
Sociedad,Barcelona,2,4,6.5,5,1.44,,
Betis,Leganes,3,2,2.25,3.1,3.5,,
Getafe,Ath Bilbao,2,2,2.7,3.1,2.79,,
Ath Madrid,Girona,1,1,1.36,4.75,9.5,,
Espanol,Sevilla,0,3,2.75,3.2,2.7,,
Las Palmas,Valencia,2,1,4.5,4,1.72,,
Villarreal,Levante,2,1,1.44,4.5,7.5,,
Alaves,Leganes,2,2,2.14,3.1,3.75,,
Betis,Barcelona,0,5,10,6,1.28,,
Real Madrid,La Coruna,7,1,1.14,9,15,,
Sociedad,Celta,1,2,1.85,3.89,4,,
Eibar,Malaga,1,1,1.66,3.5,6,,
Ath Bilbao,Eibar,1,1,1.9,3.39,4.33,,
La Coruna,Levante,2,2,2,3.5,3.79,,
Malaga,Girona,0,0,2.29,3,3.39,,
Valencia,Real Madrid,1,4,5,4.33,1.61,,
Villarreal,Sociedad,4,2,2.04,3.5,3.5,,
Ath Madrid,Las Palmas,3,0,1.16,7.5,17,,
Barcelona,Alaves,2,1,1.08,11,26,,
Leganes,Espanol,3,2,2.37,2.79,3.5,,
Sevilla,Getafe,1,1,1.5,4.33,6.5,,
Celta,Betis,3,2,1.75,3.75,4.75,,
Sociedad,La Coruna,5,0,1.44,4.75,6.5,,
Alaves,Celta,2,1,2.62,3.2,2.79,,
Betis,Villarreal,2,1,2.79,3.39,2.5,,
Eibar,Sevilla,5,1,2.6,3.29,2.75,,
Levante,Real Madrid,2,2,13,7,1.19,,
Ath Madrid,Valencia,1,0,1.44,4.33,7.5,,
Espanol,Barcelona,1,1,9.5,5.25,1.33,,
Getafe,Leganes,0,0,1.9,3.2,4.5,,
Girona,Ath Bilbao,2,0,2.39,3.29,3,,
Las Palmas,Malaga,1,0,2.25,3.39,3.2,,
Ath Bilbao,Las Palmas,0,0,1.44,4.5,7.5,,
Leganes,Eibar,0,1,2.87,3.1,2.62,,
Malaga,Ath Madrid,0,1,7.5,3.6,1.57,,
Real Madrid,Sociedad,5,2,1.19,7,13,,
Villarreal,Alaves,1,2,1.66,4,5,,
Barcelona,Getafe,0,0,1.12,9,19,,
Celta,Espanol,2,2,1.9,3.6,4,,
Sevilla,Girona,1,0,1.72,3.79,4.75,,
Valencia,Levante,3,1,1.5,4.33,6.5,,
La Coruna,Betis,0,1,2.2,3.6,3.1,,
Girona,Leganes,3,0,1.85,3.25,5,,
Alaves,La Coruna,1,0,1.9,3.39,4.33,,
Eibar,Barcelona,0,2,6.5,4.75,1.44,,
Las Palmas,Sevilla,1,2,3.5,3.6,2.04,,
Malaga,Valencia,1,2,3.6,3.5,2.04,,
Ath Madrid,Ath Bilbao,2,0,1.44,4.2,8.5,,
Betis,Real Madrid,3,5,9,6,1.3,,
Espanol,Villarreal,1,1,2.5,3.25,2.89,,
Sociedad,Levante,3,0,1.57,4.2,5.75,,
Getafe,Celta,3,0,2.5,3.29,2.87,,
Leganes,Real Madrid,1,3,11,6,1.25,,
La Coruna,Espanol,0,0,2.54,3.2,2.87,,
Barcelona,Girona,6,1,1.14,8,19,,
Celta,Eibar,2,0,2,3.5,3.7,,
Leganes,Las Palmas,0,0,1.8,3.5,4.75,,
Real Madrid,Alaves,4,0,1.14,8.5,17,,
Ath Bilbao,Malaga,2,1,1.75,3.5,5.25,,
Sevilla,Ath Madrid,2,5,3.39,3.2,2.25,,
Valencia,Sociedad,2,1,1.7,4,4.75,,
Villarreal,Getafe,1,0,1.75,3.75,4.75,,
Levante,Betis,0,2,2.5,3.29,2.87,,
Espanol,Real Madrid,1,0,6,4.33,1.53,,
Girona,Celta,1,0,2.29,3.5,3,,
Ath Bilbao,Valencia,1,1,2.62,3.2,2.79,,
Ath Madrid,Leganes,4,0,1.25,5.25,15,,
Eibar,Villarreal,1,0,2.2,3.2,3.6,,
Getafe,La Coruna,3,0,1.9,3.39,4.33,,
Malaga,Sevilla,0,1,3.5,3.2,2.14,,
Alaves,Levante,1,0,1.8,3.39,5,,
Betis,Sociedad,0,0,2.79,3.39,2.39,,
Las Palmas,Barcelona,1,1,15,7.5,1.18,,
La Coruna,Eibar,1,1,2.79,3.1,2.7,,
Leganes,Malaga,2,0,2.14,2.89,4,,
Real Madrid,Getafe,3,1,1.19,7.5,13,,
Sevilla,Ath Bilbao,2,0,1.7,3.75,5.25,,
Villarreal,Girona,0,2,1.8,3.39,4.75,,
Barcelona,Ath Madrid,1,0,1.72,3.79,4.75,,
Levante,Espanol,1,1,3.1,3.1,2.45,,
Sociedad,Alaves,2,1,1.64,4,5.25,,
Valencia,Betis,2,0,1.44,4.75,6.5,,
Celta,Las Palmas,2,1,1.44,4.33,7,,
Girona,La Coruna,2,0,1.55,4.2,5.5,,
Eibar,Real Madrid,1,2,5.75,4.75,1.5,,
Getafe,Levante,0,1,1.75,3.5,5.25,,
Malaga,Barcelona,0,2,13,6,1.25,,
Sevilla,Valencia,0,2,2,3.5,3.79,,
Ath Bilbao,Leganes,2,0,1.9,3.29,4.5,,
Ath Madrid,Celta,3,0,1.39,4.75,8,,
Espanol,Sociedad,2,1,2.87,3.1,2.62,,
Las Palmas,Villarreal,0,2,3.5,3.5,2.1,,
Alaves,Betis,1,3,2.14,3.29,3.6,,
Levante,Eibar,2,1,3.2,3.2,2.37,,
Betis,Espanol,3,0,2.2,3.39,3.29,,
La Coruna,Las Palmas,1,1,1.72,3.75,5,,
Sociedad,Getafe,1,2,1.72,3.6,5.25,,
Valencia,Alaves,3,1,1.44,4.5,7.5,,
Barcelona,Ath Bilbao,2,0,1.16,8,15,,
Celta,Malaga,0,0,1.44,4.5,7,,
Leganes,Sevilla,2,1,3.7,3.29,2.1,,
Real Madrid,Girona,6,3,1.16,7.5,17,,
Villarreal,Ath Madrid,2,1,4.2,3.1,2.04,,
Ath Bilbao,Celta,1,1,2.04,3.29,3.6,,
Girona,Levante,1,1,1.57,3.79,6,,
Las Palmas,Real Madrid,0,3,10,6,1.25,,
Sevilla,Barcelona,2,2,4.75,4,1.66,,
Ath Madrid,La Coruna,1,0,1.22,5.75,13,,
Eibar,Sociedad,0,0,2.37,3.39,2.87,,
Espanol,Alaves,0,0,2.04,3.2,3.75,,
Leganes,Valencia,0,1,3.75,3.39,2,,
Malaga,Villarreal,1,0,3.5,3.2,2.14,,
Getafe,Betis,0,1,1.95,3.5,3.75,,
La Coruna,Malaga,3,2,2.04,3.29,3.79,,
Alaves,Getafe,2,0,2.45,3,3.2,,
Barcelona,Leganes,3,1,1.12,9,21,,
Betis,Eibar,2,0,2.25,3.39,3.25,,
Celta,Sevilla,4,0,2.2,3.39,3.29,,
Levante,Las Palmas,2,1,1.9,3.6,4,,
Real Madrid,Ath Madrid,1,1,1.75,3.75,4.75,,
Sociedad,Girona,5,0,1.9,3.6,4,,
Valencia,Espanol,1,0,1.5,4.33,6.5,,
Villarreal,Ath Bilbao,1,3,1.85,3.5,4.5,,
Girona,Betis,0,1,2.29,3.39,3.1,,
Ath Bilbao,La Coruna,2,3,1.66,3.75,5.5,,
Barcelona,Valencia,2,1,1.28,6,9.5,,
Las Palmas,Sociedad,0,1,3.79,3.6,1.95,,
Leganes,Celta,1,0,3.1,3.2,2.39,,
Sevilla,Villarreal,2,2,1.8,3.75,4.5,,
Ath Madrid,Levante,3,0,1.22,6,15,,
Eibar,Alaves,0,1,1.83,3.39,4.75,,
Getafe,Espanol,1,0,2.14,3.1,3.75,,
Malaga,Real Madrid,1,2,10,5.5,1.28,,
Celta,Barcelona,2,2,4.75,4.33,1.64,,
La Coruna,Sevilla,0,0,2.5,3.5,2.75,,
Villarreal,Leganes,2,1,1.6,3.79,6.5,,
Espanol,Eibar,0,1,2.29,3.1,3.39,,
Real Madrid,Ath Bilbao,1,1,1.19,7,12,,
Valencia,Getafe,1,2,1.44,4,8,,
Alaves,Girona,1,2,2.37,3.1,3.29,,
Betis,Las Palmas,1,0,1.36,5.25,7.5,,
Levante,Malaga,1,0,1.85,3.5,4.5,,
Sociedad,Ath Madrid,3,0,3.29,3.29,2.25,,
Leganes,La Coruna,0,0,2.29,3.25,3.2,,
Celta,Valencia,1,1,2.7,3.39,2.6,,
Eibar,Getafe,0,1,2.04,3.2,4,,
Ath Madrid,Betis,0,0,1.61,3.75,6,,
Girona,Espanol,0,2,2.14,3.25,3.6,,
Las Palmas,Alaves,0,4,3.1,3.2,2.39,,
Malaga,Sociedad,2,0,5.25,3.6,1.72,,
Ath Bilbao,Levante,1,3,1.66,3.75,5.5,,
Levante,Sevilla,2,1,4.5,3.6,1.75,,
Espanol,Las Palmas,1,1,1.36,4.75,9.5,,
Real Madrid,Leganes,2,1,1.3,5.5,10,,
Sociedad,Ath Bilbao,3,1,1.85,3.6,4.33,,
Villarreal,Celta,4,1,1.72,3.75,5,,
Alaves,Ath Madrid,0,1,3.29,3.1,2.37,,
Getafe,Girona,1,1,2.1,3.1,4,,
La Coruna,Barcelona,2,4,12,6,1.25,,
Valencia,Eibar,0,0,1.5,4,7.5,,
Betis,Malaga,2,1,1.44,4.5,7.5,,
Sevilla,Sociedad,1,0,2.1,3.79,3.1,,
Ath Bilbao,Betis,2,0,2.25,3.29,3.29,,
Celta,La Coruna,1,1,1.61,4,5.5,,
Girona,Eibar,1,4,2.1,3.29,3.75,,
Villarreal,Valencia,1,0,2.25,3.39,3.2,,
Ath Madrid,Espanol,0,2,1.39,4.2,10,,
Barcelona,Real Madrid,2,2,1.66,4.33,4.5,,
Las Palmas,Getafe,0,1,4,3.29,2,,
Malaga,Alaves,0,3,2.39,3.2,3.1,,
Leganes,Levante,0,3,2.1,3.2,3.89,,
Barcelona,Villarreal,5,1,1.28,5.75,10,,
Sevilla,Real Madrid,3,2,2.45,3.7,2.62,,
Alaves,Ath Bilbao,3,1,2.5,3.29,2.89,,
Betis,Sevilla,2,2,2.62,3.39,2.7,,
Eibar,Las Palmas,1,0,1.39,4.5,9,,
Getafe,Ath Madrid,0,1,2.79,3.1,2.79,,
Girona,Valencia,0,1,2.5,3.39,2.75,,
La Coruna,Villarreal,2,4,3.5,3.6,2.04,,
Real Madrid,Celta,6,0,1.36,5,9,,
Sociedad,Leganes,3,2,1.44,4.2,8.5,,
Espanol,Malaga,4,1,1.61,3.7,6.25,,
Levante,Barcelona,5,4,10,5.25,1.3,,
Celta,Levante,4,2,1.8,4,4.1,,
Las Palmas,Girona,1,2,3.1,3.5,2.25,,
Leganes,Betis,3,2,2.7,3.6,2.5,,
Malaga,Getafe,0,1,3.3,3.3,2.25,,
Sevilla,Alaves,1,0,1.4,4.75,8,,
Villarreal,Real Madrid,2,2,3.1,4.1,2.1,,
Ath Bilbao,Espanol,0,1,2.04,3.5,3.6,,
Ath Madrid,Eibar,2,2,1.61,3.8,6,,
Barcelona,Sociedad,1,0,1.22,7,11,,
Valencia,La Coruna,2,1,1.4,4.75,8,,
Juventus,Cagliari,3,0,1.14,8,19,,
Verona,Napoli,1,3,8,4.75,1.4,,
Atalanta,Roma,0,1,3.2,3.3,2.3,,
Bologna,Torino,1,1,3.1,3.3,2.38,,
Crotone,Milan,0,3,6,4,1.57,,
Inter,Fiorentina,3,0,1.57,4,6,,
Lazio,Spal,0,0,1.29,5.5,11,,
Sampdoria,Benevento,2,1,1.67,3.75,5.5,,
Sassuolo,Genoa,0,0,2.2,3.25,3.5,,
Udinese,Chievo,1,2,2.1,3.2,3.8,,
Benevento,Bologna,0,1,2.7,3.2,2.75,,
Genoa,Juventus,2,4,9,4.5,1.4,,
Roma,Inter,1,3,2.3,3.5,3,,
Chievo,Lazio,1,2,3.5,3.2,2.2,,
Crotone,Verona,0,0,2.5,3.2,2.88,,
Fiorentina,Sampdoria,1,2,1.8,3.5,4.5,,
Milan,Cagliari,2,1,1.22,6.5,13,,
Napoli,Atalanta,3,1,1.4,4.75,8,,
Spal,Udinese,3,2,2.5,3.1,2.9,,
Torino,Sassuolo,3,0,1.75,3.6,5,,
Juventus,Chievo,3,0,1.17,7.5,17,,
Atalanta,Sassuolo,2,1,1.55,4,6.5,,
Benevento,Torino,0,1,4.33,3.75,1.83,,
Bologna,Napoli,0,3,10,5,1.33,,
Cagliari,Crotone,1,0,1.67,3.75,5.5,,
Inter,Spal,2,0,1.25,6,13,,
Lazio,Milan,4,1,2.45,3.4,2.9,,
Udinese,Genoa,1,0,2.38,3.2,3.2,,
Verona,Fiorentina,0,5,3.4,3.3,2.2,,
Crotone,Inter,0,2,10,5,1.33,,
Fiorentina,Bologna,2,1,1.55,4.2,6,,
Roma,Verona,3,0,1.17,7.5,17,,
Chievo,Atalanta,1,1,3,3.2,2.5,,
Genoa,Lazio,2,3,3.8,3.5,2,,
Milan,Udinese,2,1,1.4,4.6,8.5,,
Napoli,Benevento,6,0,1.11,10,19,,
Sassuolo,Juventus,1,3,7.5,4.33,1.45,,
Spal,Cagliari,0,2,2.38,3.3,3.1,,
Torino,Sampdoria,2,2,1.67,4,5,,
Bologna,Inter,1,1,5.75,4,1.6,,
Atalanta,Crotone,5,1,1.33,5,10,,
Benevento,Roma,0,4,8,5.25,1.36,,
Cagliari,Sassuolo,0,1,2.2,3.4,3.3,,
Genoa,Chievo,1,1,2.2,3.3,3.5,,
Juventus,Fiorentina,1,0,1.33,5.25,9,,
Lazio,Napoli,1,4,3.4,3.6,2.1,,
Milan,Spal,2,0,1.25,6.5,11,,
Udinese,Torino,2,3,2.88,3.5,2.4,,
Verona,Sampdoria,0,0,3.6,3.5,2.05,,
Juventus,Torino,4,0,1.4,4.5,8.5,,
Roma,Udinese,3,1,1.25,6,12,,
Spal,Napoli,2,3,15,6,1.22,,
Cagliari,Chievo,0,2,2.25,3.3,3.3,,
Crotone,Benevento,2,0,1.91,3.4,4.33,,
Fiorentina,Atalanta,1,1,2.2,3.4,3.2,,
Inter,Genoa,1,0,1.3,5.5,10,,
Sampdoria,Milan,2,0,3.5,3.75,2,,
Sassuolo,Bologna,0,1,2.1,3.3,3.75,,
Verona,Lazio,0,3,5.5,4,1.62,,
Genoa,Bologna,0,1,2.25,3.2,3.3,,
Udinese,Sampdoria,4,0,2.7,3.25,2.6,,
Atalanta,Juventus,2,2,4.75,3.75,1.7,,
Benevento,Inter,1,2,11,5,1.29,,
Chievo,Fiorentina,2,1,2.8,3.25,2.5,,
Lazio,Sassuolo,6,1,1.4,4.5,8,,
Milan,Roma,0,2,2.55,3.4,2.63,,
Napoli,Cagliari,3,0,1.13,8,21,,
Spal,Crotone,1,1,1.91,3.4,4,,
Torino,Verona,2,2,1.33,5,9,,
Juventus,Lazio,1,2,1.53,4.5,5.75,,
Roma,Napoli,0,1,3.2,3.4,2.25,,
Bologna,Spal,2,1,1.75,3.5,5.25,,
Cagliari,Genoa,2,3,2.25,3.3,3.3,,
Crotone,Torino,2,2,3.75,3.5,2,,
Fiorentina,Udinese,2,1,1.67,3.8,5.5,,
Inter,Milan,3,2,2.2,3.4,3.4,,
Sampdoria,Atalanta,3,1,2.8,3.3,2.6,,
Sassuolo,Chievo,0,0,2.25,3.3,3.3,,
Verona,Benevento,1,0,1.91,3.5,4.2,,
Napoli,Inter,0,0,1.61,4.2,5,,
Sampdoria,Crotone,5,0,1.53,3.79,7.5,,
Atalanta,Bologna,1,0,1.6,3.75,6.5,,
Benevento,Fiorentina,0,3,6,3.79,1.57,,
Chievo,Verona,3,2,1.9,3.39,4.33,,
Lazio,Cagliari,3,0,1.28,6,9,,
Milan,Genoa,0,0,1.44,4.33,8,,
Spal,Sassuolo,0,1,2.6,3.29,2.75,,
Torino,Roma,0,1,3.75,3.6,1.95,,
Udinese,Juventus,2,6,7.5,4.5,1.44,,
Inter,Sampdoria,3,2,1.44,4.75,7,,
Atalanta,Verona,3,0,1.36,5,8.5,,
Bologna,Lazio,1,2,5.25,3.75,1.7,,
Cagliari,Benevento,2,1,1.44,4.5,7.5,,
Chievo,Milan,1,4,3.6,3.25,2.14,,
Fiorentina,Torino,3,0,1.85,3.79,4,,
Genoa,Napoli,2,3,9,5.25,1.33,,
Juventus,Spal,4,1,1.12,9,21,,
Roma,Crotone,1,0,1.16,8,15,,
Sassuolo,Udinese,0,1,2,3.5,3.75,,
Milan,Juventus,0,2,4.2,3.5,1.9,,
Roma,Bologna,1,0,1.28,5.75,10,,
Benevento,Lazio,1,5,11,5.5,1.28,,
Crotone,Fiorentina,2,1,5.5,3.75,1.64,,
Napoli,Sassuolo,3,1,1.14,9,15,,
Sampdoria,Chievo,4,1,1.83,3.6,4.5,,
Spal,Genoa,1,0,3.1,3.1,2.5,,
Torino,Cagliari,2,1,1.6,4.33,5.25,,
Udinese,Atalanta,2,1,3.6,3.39,2.1,,
Verona,Inter,1,2,7.5,5,1.39,,
Bologna,Crotone,2,3,1.8,3.5,4.75,,
Genoa,Sampdoria,0,2,3,3.1,2.54,,
Atalanta,Spal,1,1,1.3,5.25,10,,
Cagliari,Verona,2,1,1.9,3.29,4.5,,
Chievo,Napoli,0,0,7.5,5,1.39,,
Fiorentina,Roma,2,4,3,3.5,2.29,,
Inter,Torino,1,1,1.5,4.33,6.5,,
Juventus,Benevento,2,1,1.06,13,34,,
Sassuolo,Milan,0,2,3.75,3.39,2.04,,
Napoli,Milan,2,1,1.44,4.59,7,,
Roma,Lazio,2,1,2.1,3.5,3.39,,
Benevento,Sassuolo,1,2,3.39,3.6,2.04,,
Crotone,Genoa,0,1,3.1,3.2,2.45,,
Inter,Atalanta,2,0,1.75,3.75,4.75,,
Sampdoria,Juventus,3,2,7,4,1.53,,
Spal,Fiorentina,1,1,3.79,3.6,1.95,,
Torino,Chievo,1,1,1.83,3.6,4.5,,
Udinese,Cagliari,0,1,1.95,3.6,3.79,,
Verona,Bologna,2,3,2.87,3.2,2.6,,
Bologna,Sampdoria,3,0,2.6,3.29,2.75,,
Cagliari,Inter,1,3,5,4,1.66,,
Chievo,Spal,2,1,1.9,3.5,4.2,,
Sassuolo,Verona,0,2,1.66,4,5,,
Genoa,Roma,1,1,5,3.75,1.72,,
Juventus,Crotone,3,0,1.14,8,19,,
Lazio,Fiorentina,1,1,1.64,4.2,5,,
Milan,Torino,0,0,1.75,3.75,4.75,,
Udinese,Napoli,0,1,7.5,5.5,1.36,,
Atalanta,Benevento,1,0,1.22,6,12,,
Napoli,Juventus,0,1,2,3.39,4,,
Roma,Spal,3,1,1.22,6.5,12,,
Torino,Atalanta,1,1,2.45,3.39,2.87,,
Benevento,Milan,2,2,9,5,1.36,,
Bologna,Cagliari,1,1,2,3.29,4,,
Fiorentina,Sassuolo,3,0,1.57,4,6,,
Inter,Chievo,5,0,1.39,4.75,8,,
Sampdoria,Lazio,1,2,3.6,3.6,2,,
Crotone,Udinese,0,3,2.87,3.1,2.62,,
Verona,Genoa,0,1,3.5,3.29,2.14,,
Cagliari,Sampdoria,2,2,2.6,3.39,2.7,,
Juventus,Inter,0,0,1.7,3.75,5.25,,
Chievo,Roma,0,0,5.5,4,1.61,,
Milan,Bologna,2,1,1.5,4.2,7,,
Napoli,Fiorentina,0,0,1.36,5.5,7.5,,
Sassuolo,Crotone,2,1,1.83,3.6,4.5,,
Spal,Verona,2,2,2.04,3.5,3.6,,
Udinese,Benevento,2,0,1.5,4.2,7,,
Lazio,Torino,1,3,1.5,4.75,5.75,,
Genoa,Atalanta,1,2,3.1,3.29,2.37,,
Inter,Udinese,1,3,1.33,5.25,9,,
Roma,Cagliari,1,0,1.25,6,12,,
Torino,Napoli,1,3,5.5,3.89,1.61,,
Atalanta,Lazio,3,3,2.37,3.39,3,,
Benevento,Spal,1,2,2.87,3.1,2.62,,
Bologna,Juventus,0,3,7,4.75,1.44,,
Crotone,Chievo,1,0,3.2,3.2,2.37,,
Fiorentina,Genoa,0,0,1.57,4,6,,
Sampdoria,Sassuolo,0,1,1.8,4,4.2,,
Verona,Milan,3,0,5.5,4.33,1.57,,
Cagliari,Fiorentina,0,1,3.25,3.29,2.25,,
Chievo,Bologna,2,3,2.54,3,3,,
Genoa,Benevento,1,0,1.44,4.33,8,,
Juventus,Roma,1,0,1.8,3.6,4.75,,
Lazio,Crotone,4,0,1.22,6.5,13,,
Milan,Atalanta,0,2,2.39,3.25,3,,
Napoli,Sampdoria,3,2,1.25,6,12,,
Sassuolo,Inter,1,0,5,3.75,1.72,,
Spal,Torino,2,2,3.6,3.39,2.1,,
Udinese,Verona,4,0,1.66,3.79,5.25,,
Crotone,Napoli,0,1,15,6.5,1.19,,
Atalanta,Cagliari,1,2,1.44,4.33,8,,
Benevento,Chievo,1,0,3.2,3.29,2.29,,
Bologna,Udinese,1,2,2.39,3.29,3,,
Fiorentina,Milan,1,1,2,3.5,3.79,,
Inter,Lazio,0,0,2.29,3.39,3.1,,
Roma,Sassuolo,1,1,1.3,5.5,10,,
Sampdoria,Spal,2,0,1.72,4,4.5,,
Torino,Genoa,0,0,2.1,3.39,3.6,,
Verona,Juventus,1,3,15,6.5,1.19,,
Chievo,Udinese,1,1,3,3.2,2.5,,
Fiorentina,Inter,1,1,2.5,3.25,2.87,,
Benevento,Sampdoria,3,2,3.5,3.5,2.1,,
Cagliari,Juventus,0,1,10,5,1.33,,
Genoa,Sassuolo,1,0,2.2,3.2,3.5,,
Milan,Crotone,1,0,1.33,5.25,9.5,,
Napoli,Verona,2,0,1.11,10,21,,
Roma,Atalanta,1,2,1.72,3.79,4.75,,
Spal,Lazio,2,5,6.5,4.2,1.53,,
Torino,Bologna,3,0,2.1,3.39,3.6,,
Atalanta,Napoli,0,1,3.6,3.5,2.04,,
