HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365O25,B365U25
Blackpool,Bolton,4,3,2.2,3.4,3.25,,
Sunderland,Wolves,1,3,2.5,3.25,2.88,,
West Brom,Everton,1,0,2.63,3.25,2.75,,
Arsenal,Aston Villa,1,2,1.36,5,8.5,,
Birmingham,Fulham,0,2,2.2,3.25,3.4,,
Chelsea,Newcastle,2,2,1.25,6,11,,
Liverpool,Tottenham,0,2,1.73,3.8,4.75,,
Wigan,West Ham,3,2,2.1,3.4,3.5,,
Man City,Stoke,3,0,1.36,4.75,9,,
Aston Villa,Liverpool,1,0,3.2,3.4,2.25,,
Bolton,Man City,0,2,5,3.75,1.7,,
Everton,Chelsea,1,0,3.1,3.25,2.38,,
Fulham,Arsenal,2,2,3.75,3.6,1.95,,
Man United,Blackpool,4,2,1.6,4,5.5,,
Newcastle,West Brom,3,3,2,3.5,3.75,,
Stoke,Wigan,0,1,2.75,3.6,2.4,,
Tottenham,Birmingham,2,1,1.53,4,6.5,,
West Ham,Sunderland,0,3,2,3.5,3.75,,
Wolves,Blackburn,2,3,2.2,3,3.75,,
Bayern Munich,Wolfsburg,2,1,1.57,4,5.5,,
FC Koln,Kaiserslautern,1,3,2.1,3.4,3.4,,
Freiburg,St Pauli,1,3,2.2,3.3,3.25,,
Hamburg,Schalke 04,2,1,2.38,3.4,2.88,,
Hannover,Ein Frankfurt,2,1,2.6,3.25,2.7,,
Hoffenheim,Werder Bremen,4,1,2.88,3.4,2.38,,
M'gladbach,Nurnberg,1,1,1.91,3.4,4,,
Dortmund,Leverkusen,0,2,2.38,3.4,2.88,,
Mainz,Stuttgart,2,0,3.1,3.4,2.25,,
Kaiserslautern,Bayern Munich,2,0,7,4.33,1.44,,
Ein Frankfurt,Hamburg,1,3,3.1,3.5,2.2,,
Nurnberg,Freiburg,1,2,1.91,3.4,4,,
Schalke 04,Hannover,1,2,1.33,4.75,10,,
St Pauli,Hoffenheim,0,1,3.2,3.4,2.2,,
Werder Bremen,FC Koln,4,2,1.4,4.75,7,,
Wolfsburg,Mainz,3,4,1.57,4,5.5,,
Leverkusen,M'gladbach,3,6,1.36,4.75,8,,
Stuttgart,Dortmund,1,3,2.2,3.3,3.25,,
Hoffenheim,Schalke 04,2,0,2.4,3.3,2.88,,
Bayern Munich,Werder Bremen,0,0,1.57,4,5.5,,
Dortmund,Wolfsburg,2,0,2.1,3.5,3.25,,
Freiburg,Stuttgart,2,1,3.4,3.4,2.1,,
Hamburg,Nurnberg,1,1,1.36,4.75,8.5,,
Hannover,Leverkusen,2,2,3.75,3.4,2,,
M'gladbach,Ein Frankfurt,0,4,2.1,3.4,3.4,,
FC Koln,St Pauli,1,0,2.2,3.25,3.25,,
Mainz,Kaiserslautern,2,1,2.2,3.3,3.25,,
Ein Frankfurt,Freiburg,0,1,1.8,3.5,4.5,,
Bayern Munich,FC Koln,0,0,1.22,6,12,,
Kaiserslautern,Hoffenheim,2,2,2.8,3.4,2.4,,
Stuttgart,M'gladbach,7,0,1.8,3.5,4.5,,
Werder Bremen,Mainz,0,2,1.44,4.33,7,,
Wolfsburg,Hannover,2,0,1.53,4,6,,
Leverkusen,Nurnberg,0,0,1.44,4.33,7,,
Schalke 04,Dortmund,1,3,2.25,3.3,3.2,,
St Pauli,Hamburg,1,1,3.6,3.5,2,,
Hannover,Werder Bremen,4,1,3.6,3.5,2,,
Hoffenheim,Bayern Munich,1,2,3.6,3.5,2,,
Mainz,FC Koln,2,0,1.91,3.4,4,,
Dortmund,Kaiserslautern,5,0,1.5,4,7,,
Freiburg,Schalke 04,1,2,3.1,3.3,2.25,,
Hamburg,Wolfsburg,1,3,1.91,3.5,3.9,,
Leverkusen,Ein Frankfurt,2,1,1.67,3.6,5.25,,
M'gladbach,St Pauli,1,2,2,3.3,3.8,,
Nurnberg,Stuttgart,2,1,3.1,3.3,2.3,,
FC Koln,Hoffenheim,1,1,3.25,3.3,2.2,,
Bayern Munich,Mainz,1,2,1.44,4.33,7,,
Ein Frankfurt,Nurnberg,2,0,2,3.4,3.75,,
Schalke 04,M'gladbach,2,2,1.53,3.8,6.5,,
St Pauli,Dortmund,1,3,3.75,3.4,2,,
Stuttgart,Leverkusen,1,4,2.4,3.3,2.9,,
Werder Bremen,Hamburg,3,2,2.4,3.3,2.9,,
Kaiserslautern,Hannover,0,1,2.25,3.25,3.2,,
Wolfsburg,Freiburg,2,1,1.44,4.33,7,,
Hannover,St Pauli,0,1,2,3.4,3.6,,
Freiburg,FC Koln,3,2,2.25,3.3,3.2,,
Hamburg,Kaiserslautern,2,1,1.5,4,6.75,,
Mainz,Hoffenheim,4,2,2.2,3.3,3.3,,
M'gladbach,Wolfsburg,1,1,3.5,3.4,2.05,,
Nurnberg,Schalke 04,2,1,3,3.4,2.3,,
Dortmund,Bayern Munich,2,0,2.55,3.3,2.7,,
Leverkusen,Werder Bremen,2,2,2.1,3.4,3.4,,
Stuttgart,Ein Frankfurt,1,2,1.91,3.5,3.9,,
FC Koln,Dortmund,1,2,4.33,3.6,1.8,,
Bayern Munich,Hannover,3,0,1.4,4.5,7.5,,
Mainz,Hamburg,0,1,2.25,3.4,3.1,,
Schalke 04,Stuttgart,2,2,2,3.4,3.75,,
St Pauli,Nurnberg,3,2,2.25,3.2,3.4,,
Werder Bremen,Freiburg,2,1,1.53,4.33,5.5,,
Wolfsburg,Leverkusen,2,3,2.3,3.4,3,,
Hoffenheim,M'gladbach,3,2,1.65,3.75,5.25,,
Kaiserslautern,Ein Frankfurt,0,3,2.38,3.25,3,,
Hamburg,Bayern Munich,0,0,2.63,3.3,2.63,,
Ein Frankfurt,Schalke 04,0,0,2.8,3.25,2.5,,
Freiburg,Kaiserslautern,2,1,2.25,3.25,3.2,,
Hannover,FC Koln,2,1,2.1,3.25,3.5,,
M'gladbach,Werder Bremen,1,4,3.3,3.5,2.1,,
Nurnberg,Wolfsburg,2,1,2.9,3.3,2.38,,
Dortmund,Hoffenheim,1,1,1.75,3.6,4.6,,
Leverkusen,Mainz,0,1,1.8,3.75,4.2,,
